reactor,run,echem,rep,minutes,E,t,electrode,current,exp
transfer,1,GC,1,954.3666666666667,-0.11,37.000004,i1,-1.8385874e-8,1
transfer,1,GC,1,954.3666666666667,-0.111,37.333336,i1,-1.816748e-8,1
transfer,1,GC,1,954.3666666666667,-0.112,37.666668,i1,-1.8043663e-8,1
transfer,1,GC,1,954.3666666666667,-0.113,38,i1,-1.7968974e-8,1
transfer,1,GC,1,954.3666666666667,-0.114,38.333332,i1,-1.7841325e-8,1
transfer,1,GC,1,954.3666666666667,-0.115,38.666664,i1,-1.7673973e-8,1
transfer,1,GC,1,954.3666666666667,-0.116,38.999996,i1,-1.7551834e-8,1
transfer,1,GC,1,954.3666666666667,-0.117,39.333328,i1,-1.7442957e-8,1
transfer,1,GC,1,954.3666666666667,-0.118,39.66666,i1,-1.7405013e-8,1
transfer,1,GC,1,954.3666666666667,-0.119,39.999992,i1,-1.7127904e-8,1
transfer,1,GC,1,954.3666666666667,-0.12,40.333324,i1,-1.7065197e-8,1
transfer,1,GC,1,954.3666666666667,-0.121,40.666656,i1,-1.6980524e-8,1
transfer,1,GC,1,954.3666666666667,-0.122,40.999989,i1,-1.6898007e-8,1
transfer,1,GC,1,954.3666666666667,-0.123,41.333321,i1,-1.668017e-8,1
transfer,1,GC,1,954.3666666666667,-0.124,41.666653,i1,-1.654549e-8,1
transfer,1,GC,1,954.3666666666667,-0.125,41.999985,i1,-1.6461934e-8,1
transfer,1,GC,1,954.3666666666667,-0.126,42.333317,i1,-1.6419198e-8,1
transfer,1,GC,1,954.3666666666667,-0.127,42.666649,i1,-1.6225885e-8,1
transfer,1,GC,1,954.3666666666667,-0.128,42.999981,i1,-1.6073551e-8,1
transfer,1,GC,1,954.3666666666667,-0.129,43.333313,i1,-1.5985842e-8,1
transfer,1,GC,1,954.3666666666667,-0.13,43.666645,i1,-1.5880159e-8,1
transfer,1,GC,1,954.3666666666667,-0.131,43.999977,i1,-1.5700188e-8,1
transfer,1,GC,1,954.3666666666667,-0.132,44.333309,i1,-1.5566545e-8,1
transfer,1,GC,1,954.3666666666667,-0.133,44.666641,i1,-1.5487464e-8,1
transfer,1,GC,1,954.3666666666667,-0.134,44.999973,i1,-1.5403268e-8,1
transfer,1,GC,1,954.3666666666667,-0.135,45.333305,i1,-1.5258443e-8,1
transfer,1,GC,1,954.3666666666667,-0.136,45.666637,i1,-1.5105391e-8,1
transfer,1,GC,1,954.3666666666667,-0.137,45.999969,i1,-1.5028306e-8,1
transfer,1,GC,1,954.3666666666667,-0.138,46.333302,i1,-1.4961685e-8,1
transfer,1,GC,1,954.3666666666667,-0.139,46.666634,i1,-1.4793615e-8,1
transfer,1,GC,1,954.3666666666667,-0.14,46.999966,i1,-1.460214e-8,1
transfer,1,GC,1,954.3666666666667,-0.141,47.333298,i1,-1.4516826e-8,1
transfer,1,GC,1,954.3666666666667,-0.142,47.66663,i1,-1.4469298e-8,1
transfer,1,GC,1,954.3666666666667,-0.143,47.999962,i1,-1.4282295e-8,1
transfer,1,GC,1,954.3666666666667,-0.144,48.333294,i1,-1.4115343e-8,1
transfer,1,GC,1,954.3666666666667,-0.145,48.666626,i1,-1.403019e-8,1
transfer,1,GC,1,954.3666666666667,-0.146,48.999958,i1,-1.3921871e-8,1
transfer,1,GC,1,954.3666666666667,-0.147,49.33329,i1,-1.3695967e-8,1
transfer,1,GC,1,954.3666666666667,-0.148,49.666622,i1,-1.3591083e-8,1
transfer,1,GC,1,954.3666666666667,-0.149,49.999954,i1,-1.3501616e-8,1
transfer,1,GC,1,954.3666666666667,-0.15,50.333286,i1,-1.335775e-8,1
transfer,1,GC,1,954.3666666666667,-0.151,50.666618,i1,-1.3160843e-8,1
transfer,1,GC,1,954.3666666666667,-0.152,50.99995,i1,-1.3082158e-8,1
transfer,1,GC,1,954.3666666666667,-0.153,51.333282,i1,-1.2956266e-8,1
transfer,1,GC,1,954.3666666666667,-0.154,51.666615,i1,-1.2724531e-8,1
transfer,1,GC,1,954.3666666666667,-0.155,51.999947,i1,-1.25837e-8,1
transfer,1,GC,1,954.3666666666667,-0.156,52.333279,i1,-1.2507014e-8,1
transfer,1,GC,1,954.3666666666667,-0.157,52.666611,i1,-1.2285583e-8,1
transfer,1,GC,1,954.3666666666667,-0.158,52.999943,i1,-1.2111044e-8,1
transfer,1,GC,1,954.3666666666667,-0.159,53.333275,i1,-1.1983153e-8,1
transfer,1,GC,1,954.3666666666667,-0.16,53.666607,i1,-1.172298e-8,1
transfer,1,GC,1,954.3666666666667,-0.161,53.999939,i1,-1.1587342e-8,1
transfer,1,GC,1,954.3666666666667,-0.162,54.333271,i1,-1.1406011e-8,1
transfer,1,GC,1,954.3666666666667,-0.163,54.666603,i1,-1.1190332e-8,1
transfer,1,GC,1,954.3666666666667,-0.164,54.999935,i1,-1.108409e-8,1
transfer,1,GC,1,954.3666666666667,-0.165,55.333267,i1,-1.0804586e-8,1
transfer,1,GC,1,954.3666666666667,-0.166,55.666599,i1,-1.0605122e-8,1
transfer,1,GC,1,954.3666666666667,-0.167,55.999931,i1,-1.0476034e-8,1
transfer,1,GC,1,954.3666666666667,-0.168,56.333263,i1,-1.0166255e-8,1
transfer,1,GC,1,954.3666666666667,-0.169,56.666595,i1,-1.0022947e-8,1
transfer,1,GC,1,954.3666666666667,-0.17,56.999928,i1,-9.7000674e-9,1
transfer,1,GC,1,954.3666666666667,-0.171,57.33326,i1,-9.5497308e-9,1
transfer,1,GC,1,954.3666666666667,-0.172,57.666592,i1,-9.2293275e-9,1
transfer,1,GC,1,954.3666666666667,-0.173,57.999924,i1,-9.0275476e-9,1
transfer,1,GC,1,954.3666666666667,-0.174,58.333256,i1,-8.697878e-9,1
transfer,1,GC,1,954.3666666666667,-0.175,58.666588,i1,-8.4846743e-9,1
transfer,1,GC,1,954.3666666666667,-0.176,58.99992,i1,-8.1581195e-9,1
transfer,1,GC,1,954.3666666666667,-0.177,59.333252,i1,-7.8062428e-9,1
transfer,1,GC,1,954.3666666666667,-0.178,59.666584,i1,-7.5538988e-9,1
transfer,1,GC,1,954.3666666666667,-0.179,59.999916,i1,-7.214723e-9,1
transfer,1,GC,1,954.3666666666667,-0.18,60.333248,i1,-6.8344876e-9,1
transfer,1,GC,1,954.3666666666667,-0.181,60.66658,i1,-6.5115282e-9,1
transfer,1,GC,1,954.3666666666667,-0.182,60.999912,i1,-6.1570953e-9,1
transfer,1,GC,1,954.3666666666667,-0.183,61.333244,i1,-5.7332454e-9,1
transfer,1,GC,1,954.3666666666667,-0.184,61.666576,i1,-5.3120317e-9,1
transfer,1,GC,1,954.3666666666667,-0.185,61.999908,i1,-4.8638977e-9,1
transfer,1,GC,1,954.3666666666667,-0.186,62.333241,i1,-4.4821453e-9,1
transfer,1,GC,1,954.3666666666667,-0.187,62.666573,i1,-3.964435e-9,1
transfer,1,GC,1,954.3666666666667,-0.188,62.999905,i1,-3.4588665e-9,1
transfer,1,GC,1,954.3666666666667,-0.189,63.333237,i1,-2.973668e-9,1
transfer,1,GC,1,954.3666666666667,-0.19,63.666569,i1,-2.4322329e-9,1
transfer,1,GC,1,954.3666666666667,-0.191,63.999901,i1,-1.8038872e-9,1
transfer,1,GC,1,954.3666666666667,-0.192,64.333237,i1,-1.2450379e-9,1
transfer,1,GC,1,954.3666666666667,-0.193,64.666573,i1,-5.8577798e-10,1
transfer,1,GC,1,954.3666666666667,-0.194,64.999908,i1,1.210911e-10,1
transfer,1,GC,1,954.3666666666667,-0.195,65.333244,i1,7.6469425e-10,1
transfer,1,GC,1,954.3666666666667,-0.196,65.66658,i1,1.5340305e-9,1
transfer,1,GC,1,954.3666666666667,-0.197,65.999916,i1,2.2897868e-9,1
transfer,1,GC,1,954.3666666666667,-0.198,66.333252,i1,3.0889986e-9,1
transfer,1,GC,1,954.3666666666667,-0.199,66.666588,i1,3.9676125e-9,1
transfer,1,GC,1,954.3666666666667,-0.2,66.999924,i1,4.8683533e-9,1
transfer,1,GC,1,954.3666666666667,-0.201,67.33326,i1,5.7988898e-9,1
transfer,1,GC,1,954.3666666666667,-0.202,67.666595,i1,6.8376655e-9,1
transfer,1,GC,1,954.3666666666667,-0.203,67.999931,i1,7.8878646e-9,1
transfer,1,GC,1,954.3666666666667,-0.204,68.333267,i1,9.0611598e-9,1
transfer,1,GC,1,954.3666666666667,-0.205,68.666603,i1,1.0092426e-8,1
transfer,1,GC,1,954.3666666666667,-0.206,68.999939,i1,1.1317246e-8,1
transfer,1,GC,1,954.3666666666667,-0.207,69.333275,i1,1.2687847e-8,1
transfer,1,GC,1,954.3666666666667,-0.208,69.666611,i1,1.4043112e-8,1
transfer,1,GC,1,954.3666666666667,-0.209,69.999947,i1,1.5511809e-8,1
transfer,1,GC,1,954.3666666666667,-0.21,70.333282,i1,1.7143623e-8,1
transfer,1,GC,1,954.3666666666667,-0.211,70.666618,i1,1.8742526e-8,1
transfer,1,GC,1,954.3666666666667,-0.212,70.999954,i1,2.04952e-8,1
transfer,1,GC,1,954.3666666666667,-0.213,71.33329,i1,2.2304032e-8,1
transfer,1,GC,1,954.3666666666667,-0.214,71.666626,i1,2.4210397e-8,1
transfer,1,GC,1,954.3666666666667,-0.215,71.999962,i1,2.6181707e-8,1
transfer,1,GC,1,954.3666666666667,-0.216,72.333298,i1,2.8337542e-8,1
transfer,1,GC,1,954.3666666666667,-0.217,72.666634,i1,3.0767129e-8,1
transfer,1,GC,1,954.3666666666667,-0.218,72.999969,i1,3.3002763e-8,1
transfer,1,GC,1,954.3666666666667,-0.219,73.333305,i1,3.5417493e-8,1
transfer,1,GC,1,954.3666666666667,-0.22,73.666641,i1,3.801707e-8,1
transfer,1,GC,1,954.3666666666667,-0.221,73.999977,i1,4.0767301e-8,1
transfer,1,GC,1,954.3666666666667,-0.222,74.333313,i1,4.3562586e-8,1
transfer,1,GC,1,954.3666666666667,-0.223,74.666649,i1,4.6587289e-8,1
transfer,1,GC,1,954.3666666666667,-0.224,74.999985,i1,4.9645621e-8,1
transfer,1,GC,1,954.3666666666667,-0.225,75.333321,i1,5.287658e-8,1
transfer,1,GC,1,954.3666666666667,-0.226,75.666656,i1,5.6417871e-8,1
transfer,1,GC,1,954.3666666666667,-0.227,75.999992,i1,5.985509e-8,1
transfer,1,GC,1,954.3666666666667,-0.228,76.333328,i1,6.349304e-8,1
transfer,1,GC,1,954.3666666666667,-0.229,76.666664,i1,6.7430136e-8,1
transfer,1,GC,1,954.3666666666667,-0.23,77,i1,7.1438585e-8,1
transfer,1,GC,1,954.3666666666667,-0.231,77.333336,i1,7.5685065e-8,1
transfer,1,GC,1,954.3666666666667,-0.232,77.666672,i1,7.9937152e-8,1
transfer,1,GC,1,954.3666666666667,-0.233,78.000008,i1,8.4565229e-8,1
transfer,1,GC,1,954.3666666666667,-0.234,78.333344,i1,8.9118778e-8,1
transfer,1,GC,1,954.3666666666667,-0.235,78.666679,i1,9.4021566e-8,1
transfer,1,GC,1,954.3666666666667,-0.236,79.000015,i1,9.896997e-8,1
transfer,1,GC,1,954.3666666666667,-0.237,79.333351,i1,1.0406895e-7,1
transfer,1,GC,1,954.3666666666667,-0.238,79.666687,i1,1.0925101e-7,1
transfer,1,GC,1,954.3666666666667,-0.239,80.000023,i1,1.147402e-7,1
transfer,1,GC,1,954.3666666666667,-0.24,80.333359,i1,1.201564e-7,1
transfer,1,GC,1,954.3666666666667,-0.241,80.666695,i1,1.2581255e-7,1
transfer,1,GC,1,954.3666666666667,-0.242,81.000031,i1,1.3170074e-7,1
transfer,1,GC,1,954.3666666666667,-0.243,81.333366,i1,1.3750908e-7,1
transfer,1,GC,1,954.3666666666667,-0.244,81.666702,i1,1.4335926e-7,1
transfer,1,GC,1,954.3666666666667,-0.245,82.000038,i1,1.4945043e-7,1
transfer,1,GC,1,954.3666666666667,-0.246,82.333374,i1,1.5579174e-7,1
transfer,1,GC,1,954.3666666666667,-0.247,82.66671,i1,1.6183276e-7,1
transfer,1,GC,1,954.3666666666667,-0.248,83.000046,i1,1.6820024e-7,1
transfer,1,GC,1,954.3666666666667,-0.249,83.333382,i1,1.7435933e-7,1
transfer,1,GC,1,954.3666666666667,-0.25,83.666718,i1,1.8047432e-7,1
transfer,1,GC,1,954.3666666666667,-0.251,84.000053,i1,1.8677406e-7,1
transfer,1,GC,1,954.3666666666667,-0.252,84.333389,i1,1.9315011e-7,1
transfer,1,GC,1,954.3666666666667,-0.253,84.666725,i1,1.9938645e-7,1
transfer,1,GC,1,954.3666666666667,-0.254,85.000061,i1,2.0555511e-7,1
transfer,1,GC,1,954.3666666666667,-0.255,85.333397,i1,2.1184879e-7,1
transfer,1,GC,1,954.3666666666667,-0.256,85.666733,i1,2.1813032e-7,1
transfer,1,GC,1,954.3666666666667,-0.257,86.000069,i1,2.2419331e-7,1
transfer,1,GC,1,954.3666666666667,-0.258,86.333405,i1,2.3030999e-7,1
transfer,1,GC,1,954.3666666666667,-0.259,86.66674,i1,2.3614939e-7,1
transfer,1,GC,1,954.3666666666667,-0.26,87.000076,i1,2.4186846e-7,1
transfer,1,GC,1,954.3666666666667,-0.261,87.333412,i1,2.4773672e-7,1
transfer,1,GC,1,954.3666666666667,-0.262,87.666748,i1,2.532729e-7,1
transfer,1,GC,1,954.3666666666667,-0.263,88.000084,i1,2.5867038e-7,1
transfer,1,GC,1,954.3666666666667,-0.264,88.33342,i1,2.6405294e-7,1
transfer,1,GC,1,954.3666666666667,-0.265,88.666756,i1,2.6918963e-7,1
transfer,1,GC,1,954.3666666666667,-0.266,89.000092,i1,2.7398377e-7,1
transfer,1,GC,1,954.3666666666667,-0.267,89.333427,i1,2.7897252e-7,1
transfer,1,GC,1,954.3666666666667,-0.268,89.666763,i1,2.8371593e-7,1
transfer,1,GC,1,954.3666666666667,-0.269,90.000099,i1,2.8819505e-7,1
transfer,1,GC,1,954.3666666666667,-0.27,90.333435,i1,2.9245669e-7,1
transfer,1,GC,1,954.3666666666667,-0.271,90.666771,i1,2.9673828e-7,1
transfer,1,GC,1,954.3666666666667,-0.272,91.000107,i1,3.0066474e-7,1
transfer,1,GC,1,954.3666666666667,-0.273,91.333443,i1,3.0448683e-7,1
transfer,1,GC,1,954.3666666666667,-0.274,91.666779,i1,3.0820425e-7,1
transfer,1,GC,1,954.3666666666667,-0.275,92.000114,i1,3.1156597e-7,1
transfer,1,GC,1,954.3666666666667,-0.276,92.33345,i1,3.1492507e-7,1
transfer,1,GC,1,954.3666666666667,-0.277,92.666786,i1,3.1806672e-7,1
transfer,1,GC,1,954.3666666666667,-0.278,93.000122,i1,3.2105316e-7,1
transfer,1,GC,1,954.3666666666667,-0.279,93.333458,i1,3.2394286e-7,1
transfer,1,GC,1,954.3666666666667,-0.28,93.666794,i1,3.266799e-7,1
transfer,1,GC,1,954.3666666666667,-0.281,94.00013,i1,3.2928244e-7,1
transfer,1,GC,1,954.3666666666667,-0.282,94.333466,i1,3.3164238e-7,1
transfer,1,GC,1,954.3666666666667,-0.283,94.666801,i1,3.3396427e-7,1
transfer,1,GC,1,954.3666666666667,-0.284,95.000137,i1,3.3621103e-7,1
transfer,1,GC,1,954.3666666666667,-0.285,95.333473,i1,3.3825836e-7,1
transfer,1,GC,1,954.3666666666667,-0.286,95.666809,i1,3.4014641e-7,1
transfer,1,GC,1,954.3666666666667,-0.287,96.000145,i1,3.4212306e-7,1
transfer,1,GC,1,954.3666666666667,-0.288,96.333481,i1,3.4387747e-7,1
transfer,1,GC,1,954.3666666666667,-0.289,96.666817,i1,3.4550027e-7,1
transfer,1,GC,1,954.3666666666667,-0.29,97.000153,i1,3.4705414e-7,1
transfer,1,GC,1,954.3666666666667,-0.291,97.333488,i1,3.4844516e-7,1
transfer,1,GC,1,954.3666666666667,-0.292,97.666824,i1,3.4974553e-7,1
transfer,1,GC,1,954.3666666666667,-0.293,98.00016,i1,3.5103463e-7,1
transfer,1,GC,1,954.3666666666667,-0.294,98.333496,i1,3.5215356e-7,1
transfer,1,GC,1,954.3666666666667,-0.295,98.666832,i1,3.5321207e-7,1
transfer,1,GC,1,954.3666666666667,-0.296,99.000168,i1,3.5433956e-7,1
transfer,1,GC,1,954.3666666666667,-0.297,99.333504,i1,3.5529956e-7,1
transfer,1,GC,1,954.3666666666667,-0.298,99.66684,i1,3.5617609e-7,1
transfer,1,GC,1,954.3666666666667,-0.299,100.00018,i1,3.5705366e-7,1
transfer,1,GC,1,954.3666666666667,-0.3,100.33351,i1,3.5776122e-7,1
transfer,1,GC,1,954.3666666666667,-0.301,100.66685,i1,3.5853716e-7,1
