reactor,run,echem,rep,minutes,E,electrode,current,exp
transfer,1,SWV,0,951.75,0.029,i1,1.0907016e-7,1
transfer,1,SWV,0,951.75,0.028,i1,1.3942973e-7,1
transfer,1,SWV,0,951.75,0.027,i1,1.0408995e-7,1
transfer,1,SWV,0,951.75,0.026,i1,1.3365795e-7,1
transfer,1,SWV,0,951.75,0.025,i1,1.2325225e-7,1
transfer,1,SWV,0,951.75,0.024,i1,1.2742443e-7,1
transfer,1,SWV,0,951.75,0.023,i1,1.4393173e-7,1
transfer,1,SWV,0,951.75,0.022,i1,1.120715e-7,1
transfer,1,SWV,0,951.75,0.021,i1,1.3741787e-7,1
transfer,1,SWV,0,951.75,0.02,i1,1.1657348e-7,1
transfer,1,SWV,0,951.75,0.019,i1,1.2125687e-7,1
transfer,1,SWV,0,951.75,0.018,i1,1.3468039e-7,1
transfer,1,SWV,0,951.75,0.017,i1,1.1220342e-7,1
transfer,1,SWV,0,951.75,0.016,i1,1.466362e-7,1
transfer,1,SWV,0,951.75,0.015,i1,1.1152729e-7,1
transfer,1,SWV,0,951.75,0.014,i1,1.3606561e-7,1
transfer,1,SWV,0,951.75,0.013,i1,1.2470345e-7,1
transfer,1,SWV,0,951.75,0.012,i1,1.2724303e-7,1
transfer,1,SWV,0,951.75,0.011,i1,1.3044225e-7,1
transfer,1,SWV,0,951.75,0.01,i1,1.1032347e-7,1
transfer,1,SWV,0,951.75,0.009,i1,1.3126679e-7,1
transfer,1,SWV,0,951.75,0.008,i1,1.1845344e-7,1
transfer,1,SWV,0,951.75,0.007,i1,1.2255964e-7,1
transfer,1,SWV,0,951.75,0.006,i1,1.3050821e-7,1
transfer,1,SWV,0,951.75,0.005,i1,1.2508274e-7,1
transfer,1,SWV,0,951.75,0.004,i1,1.3463092e-7,1
transfer,1,SWV,0,951.75,0.003,i1,1.1020803e-7,1
transfer,1,SWV,0,951.75,0.002,i1,1.3148117e-7,1
transfer,1,SWV,0,951.75,0.001,i1,1.267648e-7,1
transfer,1,SWV,0,951.75,-0,i1,1.2204842e-7,1
transfer,1,SWV,0,951.75,-0.001,i1,1.305247e-7,1
transfer,1,SWV,0,951.75,-0.002,i1,1.1251674e-7,1
