reactor,run,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,current_from_mins,min_current,signal
transfer,2,SWV,2,997.3666666666667,-0.221,i1,2.2016418e-6,2,2.2016418e-6,-0.034,1.2129673e-6,1.2129673e-6,9.886744999999998e-7
transfer,2,SWV,3,1000.2666666666667,-0.221,i1,1.7946443e-6,2,1.7946443e-6,-0.033,1.2112031e-6,1.2112031e-6,5.834412e-7
transfer,2,SWV,4,1002.9666666666667,-0.22,i1,1.6607534e-6,2,1.6607534e-6,-0.029,1.1791338e-6,1.1791338e-6,4.816195999999999e-7
transfer,2,SWV,5,1005.7166666666667,-0.223,i1,1.5741007e-6,2,1.5741007e-6,-0.046,1.167728e-6,1.167728e-6,4.063727000000001e-7
transfer,2,SWV,6,1008.4166666666666,-0.214,i1,1.521512e-6,2,1.521512e-6,-0.041,1.1643531e-6,1.1643531e-6,3.5715890000000014e-7
transfer,2,SWV,7,1011.2166666666667,-0.222,i1,1.4712601e-6,2,1.4712601e-6,-0.046,1.1506005e-6,1.1506005e-6,3.2065960000000015e-7
transfer,2,SWV,8,1013.9166666666666,-0.217,i1,1.4299902e-6,2,1.4299902e-6,-0.049,1.1459645e-6,1.1459645e-6,2.840257e-7
soak,3,SWV,0,1131.2166666666667,-0.269,i1,6.8981681e-6,2,6.8981681e-6,-0.011,1.8591071e-6,1.8591071e-6,5.0390610000000006e-6
transfer,3,SWV,0,1134.15,-0.265,i1,4.9628575e-6,2,4.9628575e-6,-0.397,1.7208317e-6,1.7208317e-6,3.2420258e-6
transfer,3,SWV,9,1159.4333333333334,-0.237,i1,1.8880814e-6,2,1.8880814e-6,-0.398,1.3868271e-6,1.3868271e-6,5.012543e-7
transfer,3,SWV,10,1162.1833333333334,-0.245,i1,1.861086e-6,2,1.861086e-6,-0.399,1.3700887e-6,1.3700887e-6,4.909973000000002e-7
transfer,3,SWV,11,1164.9,-0.21,i1,1.8205681e-6,2,1.8205681e-6,-0.39,1.3670216e-6,1.3670216e-6,4.535465000000001e-7
transfer,3,SWV,12,1167.6666666666667,-0.244,i1,1.7996248e-6,2,1.7996248e-6,-0.4,1.3463422e-6,1.3463422e-6,4.5328260000000016e-7
transfer,3,SWV,13,1170.4666666666667,-0.206,i1,1.7712111e-6,2,1.7712111e-6,-0.399,1.3369754e-6,1.3369754e-6,4.342356999999999e-7
transfer,3,SWV,14,1173.2166666666667,-0.226,i1,1.7532692e-6,2,1.7532692e-6,-0.385,1.3378822e-6,1.3378822e-6,4.1538700000000014e-7
transfer,3,SWV,15,1176.0166666666667,-0.211,i1,1.731056e-6,2,1.731056e-6,-0.396,1.3185386e-6,1.3185386e-6,4.125174000000001e-7
transfer,3,SWV,1,1137.1,-0.266,i1,2.9530738e-6,2,2.9530738e-6,-0.398,1.5898783e-6,1.5898783e-6,1.3631955e-6
transfer,3,SWV,2,1139.9166666666667,-0.257,i1,2.629343e-6,2,2.629343e-6,-0.399,1.5429455e-6,1.5429455e-6,1.0863975000000001e-6
transfer,3,SWV,3,1142.6333333333334,-0.258,i1,2.3586629e-6,2,2.3586629e-6,-0.398,1.5011083e-6,1.5011083e-6,8.575546000000001e-7
transfer,3,SWV,4,1145.3333333333333,-0.256,i1,2.2310901e-6,2,2.2310901e-6,-0.396,1.4712105e-6,1.4712105e-6,7.598796000000002e-7
transfer,3,SWV,5,1148.05,-0.249,i1,2.1085634e-6,2,2.1085634e-6,-0.399,1.4429947e-6,1.4429947e-6,6.655686999999998e-7
transfer,3,SWV,6,1151.1166666666666,-0.243,i1,2.0436391e-6,2,2.0436391e-6,-0.399,1.4110026e-6,1.4110026e-6,6.326365000000001e-7
transfer,3,SWV,7,1153.85,-0.239,i1,1.9838765e-6,2,1.9838765e-6,-0.398,1.4176978e-6,1.4176978e-6,5.661787e-7
