BEGIN HEADER 
     File Name: 82919_26.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00100 Volts 
     Blank Offset Average:      0.00100 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
  6.76110e-07,      1.41207e-04 
  6.91910e-07,      5.55762e-05 
  7.08010e-07,      8.57079e-05 
  7.24510e-07,      5.85640e-05 
  7.41410e-07,     -1.46627e-04 
  7.58610e-07,      1.20442e-04 
  7.76310e-07,     -2.61519e-04 
  7.94410e-07,     -6.57778e-05 
  8.12910e-07,      5.94565e-05 
  8.31810e-07,      1.85518e-04 
  8.51110e-07,      1.69082e-04 
  8.71010e-07,     -6.75070e-05 
  8.91310e-07,      7.63856e-05 
  9.12010e-07,     -7.49368e-05 
  9.33310e-07,      4.94546e-05 
  9.55110e-07,     -2.35298e-05 
  9.77310e-07,      1.61823e-05 
  1.00001e-06,      5.70992e-06 
  1.02331e-06,     -3.26331e-05 
  1.04721e-06,      6.23657e-05 
  1.07161e-06,      4.41571e-05 
  1.09651e-06,      5.98462e-06 
  1.12211e-06,      6.00571e-05 
  1.14831e-06,      1.35011e-04 
  1.17501e-06,     -1.82465e-05 
  1.20231e-06,     -3.27638e-05 
  1.23031e-06,     -4.56151e-06 
  1.25901e-06,     -6.77721e-05 
  1.28831e-06,      9.36687e-05 
  1.31831e-06,      4.40759e-05 
  1.34901e-06,     -3.24168e-05 
  1.38041e-06,      2.26602e-05 
  1.41261e-06,      6.78925e-05 
  1.44551e-06,     -1.06666e-04 
  1.47921e-06,     -4.15789e-05 
  1.51371e-06,     -2.27761e-05 
  1.54891e-06,     -5.05372e-05 
  1.58501e-06,      7.29555e-05 
  1.62191e-06,     -1.79679e-05 
  1.65961e-06,      5.83512e-05 
  1.69831e-06,      5.26216e-05 
  1.73791e-06,      8.31250e-05 
  1.77841e-06,      4.34832e-06 
  1.81981e-06,      7.77486e-05 
  1.86221e-06,      3.52489e-05 
