-0.074, 1.171e-8, -7.399e-9, 5.833e+1
-0.075, 1.177e-8, -7.372e-9, 5.867e+1
-0.076, 1.183e-8, -7.359e-9, 5.900e+1
-0.077, 1.187e-8, -7.338e-9, 5.933e+1
-0.078, 1.193e-8, -7.322e-9, 5.967e+1
-0.079, 1.199e-8, -7.288e-9, 6.000e+1
-0.080, 1.204e-8, -7.261e-9, 6.033e+1
-0.081, 1.211e-8, -7.228e-9, 6.067e+1
-0.082, 1.216e-8, -7.207e-9, 6.100e+1
-0.083, 1.223e-8, -7.195e-9, 6.133e+1
-0.084, 1.229e-8, -7.169e-9, 6.167e+1
-0.085, 1.235e-8, -7.140e-9, 6.200e+1
-0.086, 1.243e-8, -7.105e-9, 6.233e+1
-0.087, 1.243e-8, -7.098e-9, 6.267e+1
-0.088, 1.250e-8, -7.066e-9, 6.300e+1
-0.089, 1.256e-8, -7.056e-9, 6.333e+1
-0.090, 1.259e-8, -7.045e-9, 6.367e+1
-0.091, 1.264e-8, -7.027e-9, 6.400e+1
-0.092, 1.270e-8, -6.991e-9, 6.433e+1
-0.093, 1.273e-8, -6.957e-9, 6.467e+1
-0.094, 1.281e-8, -6.932e-9, 6.500e+1
-0.095, 1.286e-8, -6.936e-9, 6.533e+1
-0.096, 1.292e-8, -6.924e-9, 6.567e+1
-0.097, 1.296e-8, -6.908e-9, 6.600e+1
-0.098, 1.299e-8, -6.898e-9, 6.633e+1
-0.099, 1.304e-8, -6.883e-9, 6.667e+1
-0.100, 1.310e-8, -6.860e-9, 6.700e+1
-0.101, 1.314e-8, -6.835e-9, 6.733e+1
-0.102, 1.321e-8, -6.824e-9, 6.767e+1
-0.103, 1.326e-8, -6.801e-9, 6.800e+1
-0.104, 1.330e-8, -6.782e-9, 6.833e+1
-0.105, 1.336e-8, -6.773e-9, 6.867e+1
-0.106, 1.339e-8, -6.754e-9, 6.900e+1
-0.107, 1.344e-8, -6.731e-9, 6.933e+1
-0.108, 1.349e-8, -6.700e-9, 6.967e+1
-0.109, 1.353e-8, -6.685e-9, 7.000e+1
-0.110, 1.359e-8, -6.676e-9, 7.033e+1
-0.111, 1.363e-8, -6.658e-9, 7.067e+1
